DATE_ONLY,TIME,CAMPUS,TARGET ROOM,ROOM EXAM CAPACITY,TOTAL_STUDENTS,COURSES MERGED,UTILIZATION
2025-12-16,15g30,CS1,C6-103,50,50,"ME4217(40), TR4085(10)",1.0
2025-12-16,15g30,CS1,C6-102,50,29,"TR4085(23), EE3009(6)",0.58
2025-12-16,15g30,CS2,H2-201,82,82,TR4085(82),1.0
2025-12-16,15g30,CS2,H2-206,82,82,"CH3015(36), EE3007(27), ME4217(19)",1.0
2025-12-16,15g30,CS2,H2-301,82,82,"TR4085(75), CH3015(7)",1.0
2025-12-16,15g30,CS2,H2-306,82,82,"EE3009(81), TR4085(1)",1.0
2025-12-16,15g30,CS2,H2-401,82,82,ME4217(82),1.0
2025-12-16,15g30,CS2,H2-406,82,82,CH3015(82),1.0
2025-12-16,15g30,CS2,H6-811,79,2,ME4217(2),0.02531645569620253
2025-12-17,07g00,CS1,B4-505,63,63,SP1007(63),1.0
2025-12-17,07g00,CS1,B4-406,57,57,SP1007(57),1.0
2025-12-17,07g00,CS1,C6-102,50,50,SP1007(50),1.0
2025-12-17,07g00,CS1,C6-103,50,50,SP1007(50),1.0
2025-12-17,07g00,CS1,B1-208,44,44,SP1007(44),1.0
2025-12-17,07g00,CS1,B1-306,44,44,SP1007(44),1.0
2025-12-17,07g00,CS1,B1-311,42,42,TR4089(42),1.0
2025-12-17,07g00,CS1,B4-305,42,42,EE3091(42),1.0
2025-12-17,07g00,CS1,B4-306,42,42,SP1007(42),1.0
2025-12-17,07g00,CS1,B4-501,42,42,PH2005(42),1.0
2025-12-17,07g00,CS1,B4-502,42,42,SP1007(42),1.0
2025-12-17,07g00,CS1,B6-306,42,42,PH2005(42),1.0
2025-12-17,07g00,CS1,C4-301,42,42,"EE3069(30), TR4081(12)",1.0
2025-12-17,07g00,CS1,C4-304,42,42,"MA4141(11), TR4047(11), PH2005(10), IM4019(5), MA4189(5)",1.0
2025-12-17,07g00,CS1,C4-403,42,42,"CO3037(28), TR4047(14)",1.0
2025-12-17,07g00,CS1,C4-502,42,42,PH2005(42),1.0
2025-12-17,07g00,CS1,C5-303,42,42,SP1007(42),1.0
2025-12-17,07g00,CS1,C5-401,42,42,SP1007(42),1.0
2025-12-17,07g00,CS1,C5-403,42,42,CO3037(42),1.0
2025-12-17,07g00,CS1,C5-502,42,42,EE3091(42),1.0
2025-12-17,07g00,CS1,C5-503,42,42,PH2005(42),1.0
2025-12-17,07g00,CS1,C6-401,42,42,"TR4081(15), EN3209(14), ME5005(13)",1.0
2025-12-17,07g00,CS1,C6-402,42,42,"EE3091(17), EE3043(15), IM4019(10)",1.0
2025-12-17,07g00,CS1,C6-403,42,42,"MA2015(21), EE4451(18), TR4081(3)",1.0
2025-12-17,07g00,CS1,C4-402,42,4,"TR4089(3), ME5005(1)",0.09523809523809523
2025-12-17,07g00,CS2,H2-201,82,82,SP1007(82),1.0
2025-12-17,07g00,CS2,H2-206,82,82,SP1007(82),1.0
2025-12-17,07g00,CS2,H2-301,82,82,SP1007(82),1.0
2025-12-17,07g00,CS2,H2-306,82,82,SP1007(82),1.0
2025-12-17,07g00,CS2,H2-401,82,82,SP1007(82),1.0
2025-12-17,07g00,CS2,H2-406,82,82,SP1007(82),1.0
2025-12-17,07g00,CS2,H6-811,79,79,SP1007(79),1.0
