KEY,DATE,TIME,CAMPUS,TARGET ROOM,EXAM CAPACITY,TOTAL STUDENTS,COURSES MERGED,UTILIZATION
02/01/2026_15g30_2,,15g30,CS2,H6-110,42,40,CO3061(40),0.9523809523809523
02/01/2026_15g30_2,,15g30,CS2,H6-112,42,40,CO3061(40),0.9523809523809523
02/01/2026_15g30_2,,15g30,CS2,H6-113,68,40,CO3061(40),0.5882352941176471
02/01/2026_18g15_1,,18g15,CS1,B5-GD,130,129,"CO5175(41), CO5111(30), CH5711(30), CH5747(28)",0.9923076923076923
02/01/2026_18g15_1,,18g15,CS1,B4-302,32,28,CH5711(28),0.875
02/01/2026_18g15_1,,18g15,CS1,B4-301,32,28,"CI5777(16), MA5071(12)",0.875
03/01/2026_07g00_1,,07g00,CS1,B5-GD,130,130,"MT1013(39), CO4033(30), CO5097(30), IM4003(27), ME5091(4)",1.0
03/01/2026_07g00_1,,07g00,CS1,B6-303,32,30,CO5097(30),0.9375
03/01/2026_07g00_1,,07g00,CS1,B6-306,42,41,"CO5097(30), EE3189(11)",0.9761904761904762
03/01/2026_07g00_1,,07g00,CS1,B4-303,32,30,MT1013(30),0.9375
03/01/2026_07g00_1,,07g00,CS1,B4-406,57,56,"CI5239(26), ME3005(25), EE3035(5)",0.9824561403508771
03/01/2026_07g00_1,,07g00,CS1,B4-403,32,31,"TR4057(18), AS3031(13)",0.96875
03/01/2026_07g00_1,,07g00,CS1,B6-304,32,32,"CO5097(17), CH3131(15)",1.0
03/01/2026_07g00_1,,07g00,CS1,B4-301,32,32,"ME3005(15), MA2037(10), MA4065(7)",1.0
03/01/2026_07g00_1,,07g00,CS1,B4-505,63,5,EN5075(5),0.07936507936507936
03/01/2026_07g00_2,,07g00,CS2,NTD,300,294,"EE3035(58), IM4003(54), IU2031(51), GE4091(50), CI3237(40), CO4033(40), GE3203(1)",0.98
03/01/2026_07g00_2,,07g00,CS2,H6-205,62,59,"IU2031(43), CI4159(16)",0.9516129032258065
03/01/2026_07g00_2,,07g00,CS2,H6-112,42,41,IM4003(41),0.9761904761904762
03/01/2026_07g00_2,,07g00,CS2,H6-210,42,40,CH3131(40),0.9523809523809523
03/01/2026_07g00_2,,07g00,CS2,H6-211,66,65,"EN2065(40), EN3211(25)",0.9848484848484849
03/01/2026_07g00_2,,07g00,CS2,H6-212,42,40,EN2065(40),0.9523809523809523
03/01/2026_07g00_2,,07g00,CS2,H6-110,42,40,IM4003(40),0.9523809523809523
03/01/2026_07g00_2,,07g00,CS2,H6-109,42,39,AS3031(39),0.9285714285714286
03/01/2026_07g00_2,,07g00,CS2,H6-213,42,39,EN2065(39),0.9285714285714286
03/01/2026_07g00_2,,07g00,CS2,H6-206,42,39,IU2031(39),0.9285714285714286
03/01/2026_07g00_2,,07g00,CS2,H6-214,42,38,CH3131(38),0.9047619047619048
03/01/2026_07g00_2,,07g00,CS2,H6-312,42,38,CH4107(38),0.9047619047619048
03/01/2026_07g00_2,,07g00,CS2,H6-305,68,68,"MA4065(36), EE3101(32)",1.0
03/01/2026_07g00_2,,07g00,CS2,H6-308,76,67,"ME3005(35), TR3039(32)",0.881578947368421
03/01/2026_07g00_2,,07g00,CS2,H6-306,42,39,"MA4065(28), CH4063(11)",0.9285714285714286
03/01/2026_07g00_2,,07g00,CS2,H6-310,42,40,"CI3237(20), CO4033(20)",0.9523809523809523
03/01/2026_09g30_1,,09g30,CS1,B5-GD,130,40,SP1035(40),0.3076923076923077
03/01/2026_09g30_1,,09g30,CS1,B4-406,57,38,SP1035(38),0.6666666666666666
03/01/2026_09g30_1,,09g30,CS1,B4-305,42,31,SP1035(31),0.7380952380952381
03/01/2026_09g30_1,,09g30,CS1,B1-208,44,30,SP1035(30),0.6818181818181818
03/01/2026_09g30_1,,09g30,CS1,B1-212,38,30,SP1035(30),0.7894736842105263
03/01/2026_09g30_1,,09g30,CS1,B1-213,38,30,SP1035(30),0.7894736842105263
03/01/2026_09g30_1,,09g30,CS1,B1-305,38,30,SP1035(30),0.7894736842105263
03/01/2026_09g30_1,,09g30,CS1,B1-306,44,30,SP1035(30),0.6818181818181818
03/01/2026_09g30_1,,09g30,CS1,B1-309,30,30,SP1035(30),1.0
03/01/2026_09g30_1,,09g30,CS1,B1-311,42,30,SP1035(30),0.7142857142857143
03/01/2026_09g30_1,,09g30,CS1,B1-315,30,30,SP1035(30),1.0
03/01/2026_09g30_1,,09g30,CS1,B4-301,32,30,SP1035(30),0.9375
03/01/2026_09g30_1,,09g30,CS1,B4-302,32,30,SP1035(30),0.9375
