COURSE ID,ROOM ID,DATE,TIME,CAMPUS,STUDENTS,CAPACITY,KEY,EXAM CAPACITY
CI2095,C5-303,17/12/25,13g00,1,37,80,17/12/2025_13g00_1,42
CO1003,B4-301,17/12/25,13g00,1,30,60,17/12/2025_13g00_1,32
CO1003,B4-302,17/12/25,13g00,1,30,60,17/12/2025_13g00_1,32
CO1003,B4-501,17/12/25,13g00,1,29,80,17/12/2025_13g00_1,42
CO1003,B4-505,17/12/25,13g00,1,35,120,17/12/2025_13g00_1,63
CO1003,B8-303,17/12/25,13g00,1,30,62,17/12/2025_13g00_1,33
CO1003,B8-304,17/12/25,13g00,1,24,62,17/12/2025_13g00_1,33
CO2003,B1-206,17/12/25,13g00,1,24,48,17/12/2025_13g00_1,25
CO2003,B1-208,17/12/25,13g00,1,44,84,17/12/2025_13g00_1,44
CO2003,B1-210,17/12/25,13g00,1,24,48,17/12/2025_13g00_1,25
CO2003,B1-213,17/12/25,13g00,1,30,72,17/12/2025_13g00_1,38
CO2003,B1-214,17/12/25,13g00,1,24,48,17/12/2025_13g00_1,25
CO2003,B1-305,17/12/25,13g00,1,30,72,17/12/2025_13g00_1,38
CO2003,B1-306,17/12/25,13g00,1,39,84,17/12/2025_13g00_1,44
CO2003,B1-308,17/12/25,13g00,1,30,72,17/12/2025_13g00_1,38
CO2003,B1-309,17/12/25,13g00,1,30,56,17/12/2025_13g00_1,30
CO2003,B1-311,17/12/25,13g00,1,30,80,17/12/2025_13g00_1,42
CO2003,B1-313,17/12/25,13g00,1,30,56,17/12/2025_13g00_1,30
CO2003,B1-314,17/12/25,13g00,1,30,56,17/12/2025_13g00_1,30
CO3027,B10-203,17/12/25,13g00,1,36,70,17/12/2025_13g00_1,37
CH2013,B4-303,17/12/25,13g00,1,11,60,17/12/2025_13g00_1,32
CH2013,B4-305,17/12/25,13g00,1,35,80,17/12/2025_13g00_1,42
CH2013,B4-306,17/12/25,13g00,1,34,80,17/12/2025_13g00_1,42
CH2013,B4-401,17/12/25,13g00,1,30,60,17/12/2025_13g00_1,32
CH2013,B4-402,17/12/25,13g00,1,30,60,17/12/2025_13g00_1,32
CH2013,B4-403,17/12/25,13g00,1,30,60,17/12/2025_13g00_1,32
CH2013,B4-405,17/12/25,13g00,1,29,60,17/12/2025_13g00_1,32
CH2013,B4-406,17/12/25,13g00,1,42,108,17/12/2025_13g00_1,57
EE2417,B4-502,17/12/25,13g00,1,36,80,17/12/2025_13g00_1,42
EE2417,B4-504,17/12/25,13g00,1,27,60,17/12/2025_13g00_1,32
EE2417,B6-302,17/12/25,13g00,1,30,60,17/12/2025_13g00_1,32
EE2417,B6-303,17/12/25,13g00,1,30,60,17/12/2025_13g00_1,32
EE2417,B6-304,17/12/25,13g00,1,30,60,17/12/2025_13g00_1,32
EE2417,B6-305,17/12/25,13g00,1,30,60,17/12/2025_13g00_1,32
EE2417,B6-306,17/12/25,13g00,1,38,80,17/12/2025_13g00_1,42
IM3087,B9-201,17/12/25,13g00,1,30,60,17/12/2025_13g00_1,32
IM3087,B9-202,17/12/25,13g00,1,27,54,17/12/2025_13g00_1,28
ME2123,C6-401,17/12/25,13g00,1,38,80,17/12/2025_13g00_1,42
ME2123,C6-402,17/12/25,13g00,1,30,80,17/12/2025_13g00_1,42
ME3011,B1-215,17/12/25,13g00,1,21,48,17/12/2025_13g00_1,25
TR3143,C6-403,17/12/25,13g00,1,29,80,17/12/2025_13g00_1,42
CH2045,B4-305,17/12/25,15g30,1,35,80,17/12/2025_15g30_1,42
CI4193,B1-213,18/12/25,07g00,1,16,72,18/12/2025_07g00_1,38
EE5015,B1-309,18/12/25,07g00,1,14,56,18/12/2025_07g00_1,30
