KEY,DATE,TIME,CAMPUS,TARGET ROOM,EXAM CAPACITY,TOTAL STUDENTS,COURSES MERGED
03/01/2026_09g30_2,,09g30,CS2,H6-306,42,39,SP1035(39)
03/01/2026_09g30_2,,09g30,CS2,H6-311,71,39,SP1035(39)
03/01/2026_09g30_2,,09g30,CS2,H6-415,42,39,SP1035(39)
03/01/2026_09g30_2,,09g30,CS2,H1-104,73,32,SP1035(32)
03/01/2026_09g30_2,,09g30,CS2,H1-103,47,31,SP1035(31)
03/01/2026_09g30_2,,09g30,CS2,H1-102,49,27,SP1035(27)
03/01/2026_13g00_1,,13g00,CS1,B5-GD,130,129,"IM1019(45), TR2039(42), CH5607(30), CH5653(12)"
03/01/2026_13g00_1,,13g00,CS1,B4-502,42,40,IM1019(40)
03/01/2026_13g00_1,,13g00,CS1,B4-501,42,30,IM1019(30)
03/01/2026_13g00_1,,13g00,CS1,B4-305,42,29,CO5185(29)
03/01/2026_13g00_1,,13g00,CS1,B4-504,32,25,IM1019(25)
03/01/2026_13g00_1,,13g00,CS1,B4-306,42,39,"CI5253(22), CH5607(17)"
03/01/2026_13g00_1,,13g00,CS1,B4-303,32,16,CH4087(16)
03/01/2026_13g00_2,,13g00,CS2,H6-GD,250,235,"CH4087(47), IM1019(41), EN1005(40), TR2039(40), EE3171(33), ME2071(23), IU1005(11)"
03/01/2026_13g00_2,,13g00,CS2,H6-110,42,40,EN1005(40)
03/01/2026_13g00_2,,13g00,CS2,H6-205,62,57,"IM1019(40), TR2039(17)"
03/01/2026_13g00_2,,13g00,CS2,H6-208,62,40,IM1019(40)
03/01/2026_13g00_2,,13g00,CS2,H6-210,42,40,IM1019(40)
03/01/2026_13g00_2,,13g00,CS2,H6-211,66,40,IM1019(40)
03/01/2026_13g00_2,,13g00,CS2,H6-206,42,39,IM1019(39)
03/01/2026_15g30_1,,15g30,CS1,B5-GD,130,46,CO3043(46)
03/01/2026_15g30_1,,15g30,CS1,B4-405,32,25,CO3043(25)
03/01/2026_15g30_2,,15g30,CS2,H6-GD,250,50,CO3043(50)
03/01/2026_15g30_2,,15g30,CS2,H6-110,42,40,CO3043(40)
03/01/2026_15g30_2,,15g30,CS2,H6-112,42,40,CO3043(40)
04/01/2026_07g00_1,,07g00,CS1,B5-GD,130,130,"IM1025(42), TR4087(42), GK5033(40), CI3259(6)"
04/01/2026_07g00_1,,07g00,CS1,B4-501,42,40,"GK5033(35), MA4181(5)"
04/01/2026_07g00_1,,07g00,CS1,B4-502,42,42,"GK5033(32), CH4115(10)"
04/01/2026_07g00_1,,07g00,CS1,B4-303,32,31,EE3411(31)
04/01/2026_07g00_1,,07g00,CS1,B4-306,42,30,AS2013(30)
04/01/2026_07g00_1,,07g00,CS1,B4-302,32,30,EE3411(30)
04/01/2026_07g00_1,,07g00,CS1,B1-213,38,30,IM1025(30)
04/01/2026_07g00_1,,07g00,CS1,B1-306,44,44,"IM1025(30), CH2109(14)"
04/01/2026_07g00_1,,07g00,CS1,B1-309,30,30,IM1025(30)
04/01/2026_07g00_1,,07g00,CS1,B1-311,42,30,IM1025(30)
04/01/2026_07g00_1,,07g00,CS1,B1-315,30,30,IM1025(30)
04/01/2026_07g00_1,,07g00,CS1,B4-402,32,30,IM3073(30)
04/01/2026_07g00_1,,07g00,CS1,B1-212,38,29,IM1025(29)
04/01/2026_07g00_1,,07g00,CS1,B1-313,30,29,IM1025(29)
04/01/2026_07g00_1,,07g00,CS1,B4-405,32,24,CH4111(24)
04/01/2026_07g00_1,,07g00,CS1,B1-214,25,24,MA4079(24)
04/01/2026_07g00_1,,07g00,CS1,B4-504,32,21,AS3075(21)
04/01/2026_07g00_1,,07g00,CS1,B1-215,25,21,CI2157(21)
04/01/2026_07g00_1,,07g00,CS1,B1-314,30,20,IM1025(20)
04/01/2026_07g00_1,,07g00,CS1,B4-401,32,19,IM3073(19)
04/01/2026_07g00_1,,07g00,CS1,B1-308,38,36,"EE2419(18), PH1009(18)"
04/01/2026_07g00_1,,07g00,CS1,B1-210,25,17,IM1025(17)
04/01/2026_07g00_1,,07g00,CS1,B1-211,17,17,MA3139(17)
04/01/2026_07g00_1,,07g00,CS1,B6-301,26,17,PH2003(17)
04/01/2026_07g00_1,,07g00,CS1,B4-403,32,31,"AS2013(16), MA3113(15)"
