F_MAMH,F_TENPHMOI,NGAYTHI,GIOTHI_BD,COSO,F_SOLUONG,SUC_CHUA,KEY_CA
ME4217,B4-405,46007,15g30,1,30,60,16/12/2025_15g30_1
ME4217,B4-406,46007,15g30,1,45,108,16/12/2025_15g30_1
TR4085,B4-305,46007,15g30,1,42,80,16/12/2025_15g30_1
CO3037,B4-405,46008,07g00,1,30,60,17/12/2025_07g00_1
CO3037,B4-406,46008,07g00,1,40,108,17/12/2025_07g00_1
EE3043,B1-210,46008,07g00,1,15,48,17/12/2025_07g00_1
EE3069,B4-403,46008,07g00,1,30,60,17/12/2025_07g00_1
EE3091,B4-303,46008,07g00,1,29,60,17/12/2025_07g00_1
EE3091,B4-305,46008,07g00,1,36,80,17/12/2025_07g00_1
EE3091,B4-306,46008,07g00,1,36,80,17/12/2025_07g00_1
EE4451,B4-504,46008,07g00,1,18,60,17/12/2025_07g00_1
EN3209,C4-302,46008,07g00,1,14,50,17/12/2025_07g00_1
IM4019,B1-211,46008,07g00,1,15,32,17/12/2025_07g00_1
MA2015,B4-502,46008,07g00,1,21,80,17/12/2025_07g00_1
MA4141,C4-303,46008,07g00,1,11,50,17/12/2025_07g00_1
MA4189,C4-401,46008,07g00,1,5,50,17/12/2025_07g00_1
ME5005,B1-310,46008,07g00,1,14,32,17/12/2025_07g00_1
PH2005,B6-301,46008,07g00,1,22,50,17/12/2025_07g00_1
PH2005,B6-302,46008,07g00,1,31,60,17/12/2025_07g00_1
PH2005,B6-303,46008,07g00,1,30,60,17/12/2025_07g00_1
PH2005,B6-304,46008,07g00,1,30,60,17/12/2025_07g00_1
PH2005,B6-305,46008,07g00,1,30,60,17/12/2025_07g00_1
PH2005,B6-306,46008,07g00,1,35,80,17/12/2025_07g00_1
SP1007,B1-203,46008,07g00,1,26,60,17/12/2025_07g00_1
SP1007,B1-208,46008,07g00,1,43,84,17/12/2025_07g00_1
SP1007,B1-212,46008,07g00,1,31,72,17/12/2025_07g00_1
SP1007,B1-213,46008,07g00,1,31,72,17/12/2025_07g00_1
SP1007,B1-301,46008,07g00,1,30,56,17/12/2025_07g00_1
SP1007,B1-302,46008,07g00,1,30,56,17/12/2025_07g00_1
SP1007,B1-303,46008,07g00,1,30,56,17/12/2025_07g00_1
SP1007,B1-305,46008,07g00,1,30,72,17/12/2025_07g00_1
SP1007,B1-306,46008,07g00,1,42,84,17/12/2025_07g00_1
SP1007,B1-308,46008,07g00,1,30,72,17/12/2025_07g00_1
SP1007,B1-309,46008,07g00,1,30,56,17/12/2025_07g00_1
SP1007,B1-311,46008,07g00,1,33,80,17/12/2025_07g00_1
SP1007,B1-313,46008,07g00,1,30,56,17/12/2025_07g00_1
SP1007,B1-314,46008,07g00,1,30,56,17/12/2025_07g00_1
SP1007,B1-315,46008,07g00,1,30,56,17/12/2025_07g00_1
TR4047,B4-402,46008,07g00,1,25,60,17/12/2025_07g00_1
TR4081,B4-401,46008,07g00,1,30,60,17/12/2025_07g00_1
TR4089,B4-301,46008,07g00,1,30,60,17/12/2025_07g00_1
TR4089,B4-302,46008,07g00,1,15,60,17/12/2025_07g00_1
CI1003,C6-102,46008,13g00,1,24,100,17/12/2025_13g00_1
CI2095,B8-301,46008,13g00,1,31,66,17/12/2025_13g00_1
CI2095,C5-302,46008,13g00,1,26,50,17/12/2025_13g00_1
CI2095,C5-303,46008,13g00,1,37,80,17/12/2025_13g00_1
CO1003,B4-301,46008,13g00,1,30,60,17/12/2025_13g00_1
CO1003,B4-302,46008,13g00,1,30,60,17/12/2025_13g00_1
CO1003,B4-501,46008,13g00,1,29,80,17/12/2025_13g00_1
CO1003,B4-505,46008,13g00,1,35,120,17/12/2025_13g00_1
CO1003,B8-303,46008,13g00,1,30,62,17/12/2025_13g00_1
CO1003,B8-304,46008,13g00,1,24,62,17/12/2025_13g00_1
CO2003,B1-206,46008,13g00,1,24,48,17/12/2025_13g00_1
CO2003,B1-208,46008,13g00,1,44,84,17/12/2025_13g00_1
CO2003,B1-210,46008,13g00,1,24,48,17/12/2025_13g00_1
CO2003,B1-213,46008,13g00,1,30,72,17/12/2025_13g00_1
CO2003,B1-214,46008,13g00,1,24,48,17/12/2025_13g00_1
CO2003,B1-305,46008,13g00,1,30,72,17/12/2025_13g00_1
CO2003,B1-306,46008,13g00,1,39,84,17/12/2025_13g00_1
CO2003,B1-308,46008,13g00,1,30,72,17/12/2025_13g00_1
CO2003,B1-309,46008,13g00,1,30,56,17/12/2025_13g00_1
CO2003,B1-311,46008,13g00,1,30,80,17/12/2025_13g00_1
CO2003,B1-313,46008,13g00,1,30,56,17/12/2025_13g00_1
CO2003,B1-314,46008,13g00,1,30,56,17/12/2025_13g00_1
CO3027,B10-203,46008,13g00,1,36,70,17/12/2025_13g00_1
CH2013,B4-303,46008,13g00,1,11,60,17/12/2025_13g00_1
CH2013,B4-305,46008,13g00,1,35,80,17/12/2025_13g00_1
CH2013,B4-306,46008,13g00,1,34,80,17/12/2025_13g00_1
CH2013,B4-401,46008,13g00,1,30,60,17/12/2025_13g00_1
CH2013,B4-402,46008,13g00,1,30,60,17/12/2025_13g00_1
CH2013,B4-403,46008,13g00,1,30,60,17/12/2025_13g00_1
CH2013,B4-405,46008,13g00,1,29,60,17/12/2025_13g00_1
CH2013,B4-406,46008,13g00,1,42,108,17/12/2025_13g00_1
EE2417,B4-502,46008,13g00,1,36,80,17/12/2025_13g00_1
EE2417,B4-504,46008,13g00,1,27,60,17/12/2025_13g00_1
EE2417,B6-302,46008,13g00,1,30,60,17/12/2025_13g00_1
EE2417,B6-303,46008,13g00,1,30,60,17/12/2025_13g00_1
EE2417,B6-304,46008,13g00,1,30,60,17/12/2025_13g00_1
EE2417,B6-305,46008,13g00,1,30,60,17/12/2025_13g00_1
EE2417,B6-306,46008,13g00,1,38,80,17/12/2025_13g00_1
IM3087,B9-201,46008,13g00,1,30,60,17/12/2025_13g00_1
IM3087,B9-202,46008,13g00,1,27,54,17/12/2025_13g00_1
ME2123,C6-401,46008,13g00,1,38,80,17/12/2025_13g00_1
ME2123,C6-402,46008,13g00,1,30,80,17/12/2025_13g00_1
ME3011,B1-215,46008,13g00,1,21,48,17/12/2025_13g00_1
TR3143,C6-403,46008,13g00,1,29,80,17/12/2025_13g00_1
CH2045,B4-305,46008,15g30,1,35,80,17/12/2025_15g30_1
CI4193,B1-213,46009,07g00,1,16,72,18/12/2025_07g00_1
EE5015,B1-309,46009,07g00,1,14,56,18/12/2025_07g00_1
LA1027,B1-313,46009,07g00,1,4,56,18/12/2025_07g00_1
MA5023,B1-212,46009,07g00,1,22,72,18/12/2025_07g00_1
ME1021,B1-308,46009,07g00,1,29,72,18/12/2025_07g00_1
SP1039,B1-210,46009,07g00,1,20,48,18/12/2025_07g00_1
SP1039,B1-214,46009,07g00,1,18,48,18/12/2025_07g00_1
SP1039,B1-215,46009,07g00,1,16,48,18/12/2025_07g00_1
SP1039,B4-301,46009,07g00,1,30,60,18/12/2025_07g00_1
SP1039,B4-302,46009,07g00,1,30,60,18/12/2025_07g00_1
SP1039,B4-303,46009,07g00,1,30,60,18/12/2025_07g00_1
SP1039,B4-305,46009,07g00,1,34,80,18/12/2025_07g00_1
SP1039,B4-306,46009,07g00,1,33,80,18/12/2025_07g00_1
SP1039,B4-401,46009,07g00,1,30,60,18/12/2025_07g00_1
SP1039,B4-402,46009,07g00,1,30,60,18/12/2025_07g00_1
SP1039,B4-403,46009,07g00,1,29,60,18/12/2025_07g00_1
SP1039,B4-405,46009,07g00,1,30,60,18/12/2025_07g00_1
SP1039,B4-406,46009,07g00,1,37,108,18/12/2025_07g00_1
SP1039,B4-501,46009,07g00,1,30,80,18/12/2025_07g00_1
SP1039,B4-502,46009,07g00,1,30,80,18/12/2025_07g00_1
SP1039,B4-504,46009,07g00,1,29,60,18/12/2025_07g00_1
SP1039,B4-505,46009,07g00,1,44,120,18/12/2025_07g00_1
IM1033,B4-402,46009,09g30,1,30,60,18/12/2025_09g30_1
IM1033,B4-403,46009,09g30,1,30,60,18/12/2025_09g30_1
IM1033,B4-405,46009,09g30,1,30,60,18/12/2025_09g30_1
IM1033,B4-406,46009,09g30,1,38,108,18/12/2025_09g30_1
LA3019,B4-303,46009,09g30,1,1,60,18/12/2025_09g30_1
AS2059,B6-301,46009,13g00,1,22,50,18/12/2025_13g00_1
CI1007,B4-301,46009,13g00,1,21,60,18/12/2025_13g00_1
CI1007,B4-501,46009,13g00,1,30,80,18/12/2025_13g00_1
CI1007,B4-502,46009,13g00,1,38,80,18/12/2025_13g00_1
CO2007,B1-208,46009,13g00,1,43,84,18/12/2025_13g00_1
CO2007,B1-212,46009,13g00,1,32,72,18/12/2025_13g00_1
CO2007,B1-213,46009,13g00,1,30,72,18/12/2025_13g00_1
CO2007,B1-302,46009,13g00,1,30,56,18/12/2025_13g00_1
CO2007,B1-303,46009,13g00,1,30,56,18/12/2025_13g00_1
CO2007,B1-305,46009,13g00,1,30,72,18/12/2025_13g00_1
CO2007,B1-306,46009,13g00,1,42,84,18/12/2025_13g00_1
CO2007,B1-308,46009,13g00,1,30,72,18/12/2025_13g00_1
CO2007,B1-309,46009,13g00,1,30,56,18/12/2025_13g00_1
CO2007,B1-311,46009,13g00,1,42,80,18/12/2025_13g00_1
CO2007,B1-313,46009,13g00,1,30,56,18/12/2025_13g00_1
CO2007,B1-314,46009,13g00,1,30,56,18/12/2025_13g00_1
CO2007,B1-315,46009,13g00,1,30,56,18/12/2025_13g00_1
CO3137,B1-215,46009,13g00,1,20,48,18/12/2025_13g00_1
CH3327,B1-210,46009,13g00,1,21,48,18/12/2025_13g00_1
EE2033,B4-302,46009,13g00,1,26,60,18/12/2025_13g00_1
EE2033,B4-303,46009,13g00,1,27,60,18/12/2025_13g00_1
EE2033,B4-305,46009,13g00,1,30,80,18/12/2025_13g00_1
EE2033,B4-306,46009,13g00,1,30,80,18/12/2025_13g00_1
EE2033,B4-401,46009,13g00,1,30,60,18/12/2025_13g00_1
EE2033,B4-402,46009,13g00,1,30,60,18/12/2025_13g00_1
EE2033,B4-403,46009,13g00,1,30,60,18/12/2025_13g00_1
EE2033,B4-405,46009,13g00,1,30,60,18/12/2025_13g00_1
EE2033,B4-406,46009,13g00,1,44,108,18/12/2025_13g00_1
EE2401,B4-504,46009,13g00,1,30,60,18/12/2025_13g00_1
EE2401,B4-505,46009,13g00,1,43,120,18/12/2025_13g00_1
EE2401,B6-302,46009,13g00,1,30,60,18/12/2025_13g00_1
EE2401,B6-303,46009,13g00,1,30,60,18/12/2025_13g00_1
EE2401,B6-304,46009,13g00,1,30,60,18/12/2025_13g00_1
EE2401,B6-305,46009,13g00,1,30,60,18/12/2025_13g00_1
EE2401,B6-306,46009,13g00,1,32,80,18/12/2025_13g00_1
ME3009,B1-201,46009,13g00,1,21,40,18/12/2025_13g00_1
ME3009,B1-202,46009,13g00,1,19,40,18/12/2025_13g00_1
ME3009,B1-203,46009,13g00,1,27,60,18/12/2025_13g00_1
ME4021,B8-301,46009,13g00,1,30,66,18/12/2025_13g00_1
ME4021,B8-302,46009,13g00,1,19,40,18/12/2025_13g00_1
TR1003,C6-401,46009,13g00,1,40,80,18/12/2025_13g00_1
TR1003,C6-402,46009,13g00,1,30,80,18/12/2025_13g00_1
CI4131,B4-305,46009,15g30,1,29,80,18/12/2025_15g30_1
CI4131,B4-306,46009,15g30,1,17,80,18/12/2025_15g30_1
CO3065,B4-302,46009,15g30,1,27,60,18/12/2025_15g30_1
CO3065,B4-303,46009,15g30,1,30,60,18/12/2025_15g30_1
AS2039,B4-301,46010,07g00,1,22,60,19/12/2025_07g00_1
AS3169,B4-405,46010,07g00,1,14,60,19/12/2025_07g00_1
CH4113,B4-401,46010,07g00,1,19,60,19/12/2025_07g00_1
EE3015,B4-402,46010,07g00,1,22,60,19/12/2025_07g00_1
GE2059,B6-301,46010,07g00,1,5,50,19/12/2025_07g00_1
IM3063,B4-302,46010,07g00,1,30,60,19/12/2025_07g00_1
IM3063,B4-303,46010,07g00,1,31,60,19/12/2025_07g00_1
IM3063,B4-305,46010,07g00,1,36,80,19/12/2025_07g00_1
MA2039,B4-406,46010,07g00,1,11,108,19/12/2025_07g00_1
MA5015,B4-306,46010,07g00,1,27,80,19/12/2025_07g00_1
ME2141,B4-504,46010,07g00,1,30,60,19/12/2025_07g00_1
ME2141,B4-505,46010,07g00,1,43,120,19/12/2025_07g00_1
SP1031,B1-208,46010,09g30,1,37,84,19/12/2025_09g30_1
SP1031,B1-212,46010,09g30,1,30,72,19/12/2025_09g30_1
SP1031,B1-213,46010,09g30,1,30,72,19/12/2025_09g30_1
SP1031,B1-301,46010,09g30,1,30,56,19/12/2025_09g30_1
SP1031,B1-302,46010,09g30,1,29,56,19/12/2025_09g30_1
SP1031,B1-303,46010,09g30,1,29,56,19/12/2025_09g30_1
SP1031,B1-305,46010,09g30,1,30,72,19/12/2025_09g30_1
SP1031,B1-306,46010,09g30,1,32,84,19/12/2025_09g30_1
SP1031,B1-308,46010,09g30,1,30,72,19/12/2025_09g30_1
SP1031,B1-309,46010,09g30,1,30,56,19/12/2025_09g30_1
SP1031,B1-311,46010,09g30,1,30,80,19/12/2025_09g30_1
SP1031,B1-313,46010,09g30,1,30,56,19/12/2025_09g30_1
SP1031,B1-314,46010,09g30,1,30,56,19/12/2025_09g30_1
SP1031,B1-315,46010,09g30,1,30,56,19/12/2025_09g30_1
SP1031,B4-301,46010,09g30,1,30,60,19/12/2025_09g30_1
SP1031,B4-302,46010,09g30,1,30,60,19/12/2025_09g30_1
SP1031,B4-303,46010,09g30,1,30,60,19/12/2025_09g30_1
SP1031,B4-305,46010,09g30,1,30,80,19/12/2025_09g30_1
